Category	Type	Alias	Name	Args	Args Transform	Description	Link
File	Modify	m_sync	msync			Flushes changes made to the in-core copy of a file that was mapped into memory back to the filesystem.	https://man7.org/linux/man-pages/man2/msync.2.html
File	Create	mount	mount	source;target		Attaches the given source filesystem to the specified target location.	https://man7.org/linux/man-pages/man2/mount.2.html
File	Delete	umount	umount	target		Removes the attachment of the (topmost) filesystem mounted on the given target.	https://man7.org/linux/man-pages/man2/umount.2.html
File	Delete	umount	umount2	target		Removes the attachment of the (topmost) filesystem mounted on the given target.	https://man7.org/linux/man-pages/man2/umount2.2.html
File	Read	read	read	path		Reads from the given file to a buffer.	https://man7.org/linux/man-pages/man2/read.2.html
File	Read	read	pread	path		Reads from the given file to a buffer.	https://linux.die.net/man/2/pread
File	Read	read	pread64	path		Reads from the given file to a buffer.	https://linux.die.net/man/2/pread64
File	Read	read	readv	path		Reads from the given file into multiple buffers.	https://man7.org/linux/man-pages/man2/readv.2.html
File	Read	read	preadv	path		Reads from the given file into multiple buffers.	https://man7.org/linux/man-pages/man2/preadv.2.html
File	Read	read	preadv2	path		Reads from the given file into multiple buffers.	https://man7.org/linux/man-pages/man2/preadv2.2.html
File	Read	read_ahead	readahead	path		Reads the specified part of the given file into the page cache.	https://man7.org/linux/man-pages/man2/readahead.2.html
File	Modify	write	write	path		Writes a buffer of data to the given file.	https://man7.org/linux/man-pages/man2/write.2.html
File	Modify	write	pwrite	path		Writes a buffer of data to the given file.	https://linux.die.net/man/2/pwrite
File	Modify	write	pwrite64	path		Writes a buffer of data to the given file.	https://linux.die.net/man/2/pwrite64
File	Modify	write	writev	path		Writes buffers of data to the given file.	https://man7.org/linux/man-pages/man2/writev.2.html
File	Modify	write	pwritev	path		Writes buffers of data to the given file.	https://man7.org/linux/man-pages/man2/pwritev.2.html
File	Modify	write	pwritev2	path		Writes buffers of data to the given file.	https://man7.org/linux/man-pages/man2/pwritev.2.html
File	Modify	quota_ctl	quotactl	op		Manipulats disk quotas.	https://man7.org/linux/man-pages/man2/quotactl.2.html
File	Modify	swapon	swapon	path		Starts swapping to given file.	https://man7.org/linux/man-pages/man2/swapon.2.html
File	Modify	swapoff	swapoff	path		Stops swapping to given file.	https://man7.org/linux/man-pages/man2/swapoff.2.html
File	Stat	stat	stat	path		Gets the file status.	https://man7.org/linux/man-pages/man2/stat.2.html
File	Stat	stat	fstat	path		Gets the file status.	https://man7.org/linux/man-pages/man2/fstat.2.html
File	Stat	stat	lstat	path		Gets the file status.	https://man7.org/linux/man-pages/man2/lstat.2.html
File	Stat	stat	fstatat	path	"JoinPaths(0, 1)"	Gets the file status.	https://man7.org/linux/man-pages/man2/fstatat.2.html
File	Stat	stat	newfstatat	path	"JoinPaths(0, 1)"	Gets the file status.	https://man7.org/linux/man-pages/man2/newfstatat.2.html
File	Stat	stat	fstatat64	path	"JoinPaths(0, 1)"	Gets the file status.	https://man7.org/linux/man-pages/man2/fstatat64.2.html
File	Stat	stat	statx	path		Gets the file status.	https://man7.org/linux/man-pages/man2/statx.2.html
File	Stat	stat_fs	statfs	path		Gets the filesystem statistics.	https://man7.org/linux/man-pages/man2/statfs.2.html
File	Stat	stat_fs	fstatfs	path		Gets the filesystem statistics.	https://man7.org/linux/man-pages/man2/statfs.2.html
File	Stat	stat_fs	ustat			Gets the filesystem statistics.	https://man7.org/linux/man-pages/man2/statfs.2.html
File	Create	io_uring_setup	io_uring_setup			Sets up a submission queue (SQ) and completion queue (CQ) in the kernel.	https://man7.org/linux/man-pages/man2/io_uring_setup.2.html
File	Create	io_uring_setup	io_uring_queue_init			Sets up a submission queue (SQ) and completion queue (CQ) in the kernel.	https://man7.org/linux/man-pages/man3/io_uring_queue_init.3.html
File	Create	io_uring_setup	io_uring_queue_init_params			Sets up a submission queue (SQ) and completion queue (CQ) in the kernel.	https://man7.org/linux/man-pages/man3/io_uring_queue_init_params.3.html
File	Create	io_uring_setup	io_uring_queue_init_mem			Sets up a submission queue (SQ) and completion queue (CQ) in the kernel.	https://man7.org/linux/man-pages/man3/io_uring_queue_init_mem.3.html
File	Modify	io_uring_enter	io_uring_enter			Initiates and/or completes asynchronous I/O.	https://man7.org/linux/man-pages/man2/io_uring_enter.2.html
File	Modify	io_uring_enter	io_uring_enter2			Initiates and/or completes asynchronous I/O.	https://man7.org/linux/man-pages/man2/io_uring_enter2.2.html
File	Read	io_uring_get_sqe	io_uring_get_sqe			Gets the next available submission queue (SQ) entry from the submission queue.	https://man7.org/linux/man-pages/man3/io_uring_get_sqe.3.html
File	Read	io_uring_prep_read	io_uring_prep_read			Prepares an I/O read request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_read.3.html
File	Read	io_uring_prep_read	io_uring_prep_readv			Prepares an I/O vector read request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_readv.3.html
File	Read	io_uring_prep_read	io_uring_prep_readv2			Prepares an I/O vector read request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_readv2.3.html
File	Modify	io_uring_prep_write 	io_uring_prep_write			Prepares an I/O write request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_write.3.html
File	Modify	io_uring_prep_write 	io_uring_prep_writev			Prepares an I/O vector write request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_writev.3.html
File	Modify	io_uring_prep_write 	io_uring_prep_writev2			Prepares an I/O vector write request for the the submission queue (SQ).	https://man7.org/linux/man-pages/man3/io_uring_prep_writev2.3.html
File	Modify	io_uring_submit	io_uring_submit			Submits the next events to the submission queue (SQ) belonging to the ring.	https://man7.org/linux/man-pages/man3/io_uring_submit.3.html
File	Read	io_uring_wait_cqe	io_uring_wait_cqe			Waits for an IO completion from the queue (CQ) belonging to the ring.	https://man7.org/linux/man-pages/man3/io_uring_wait_cqe.3.html
File	Delete	io_uring_queue_exit	io_uring_queue_exit			Releases all resources acquired and initialized for thre ring.	https://man7.org/linux/man-pages/man3/io_uring_queue_exit.3.html
IPC	Create	mq_open	mq_open			Creates a new POSIX message queue or opens an existing queue.	https://man7.org/linux/man-pages/man2/mq_open.2.html
IPC	Modify	mq_send	mq_send			Sends the given message to the specified message queue.	https://man7.org/linux/man-pages/man2/mq_timedsend.2.html
IPC	Modify	mq_send	mq_timedsend			Sends the given message to the specified message queue.	https://man7.org/linux/man-pages/man2/mq_timedsend.2.html
IPC	Read	mq_receive	mq_receive			Receives a message from the given message queue.	https://man7.org/linux/man-pages/man2/mq_timedreceive.2.html
IPC	Read	mq_receive	mq_timedreceive			Receives a message from the given message queue.	https://man7.org/linux/man-pages/man2/mq_timedreceive.2.html
IPC	Modify	splice	splice	source;target		Moves data between two file descriptors without copying between kernel address space and user address space.	https://man7.org/linux/man-pages/man2/splice.2.html
IPC	Modify	vmsplice	vmsplice			Transfers data from the given pipe to the specified buffer or vice versa.	https://man7.org/linux/man-pages/man2/vmsplice.2.html
IPC	Read	pipe	pipe	path		"Creates a pipe, a unidirectional data channel that can be used for interprocess communication."	https://man7.org/linux/man-pages/man2/pipe.2.html
IPC	Read	pipe2	pipe2	path		"Creates a pipe, a unidirectional data channel that can be used for interprocess communication."	https://man7.org/linux/man-pages/man2/pipe2.2.html
IPC	Read	tee	tee	source;target		Duplicates the given source pipe content to the target one.	https://man7.org/linux/man-pages/man2/tee.2.html
IPC	Modify	msg_ctl	msgctl			Manipulates the System V message queue.	https://man7.org/linux/man-pages/man2/msgctl.2.html
IPC	Read	msgrcv	msgrcv			Receives a message from the System V message queue.	https://man7.org/linux/man-pages/man2/msgrcv.2.html
IPC	Modify	msgsnd	msgsnd			Sends the given message to the System V message queue.	https://man7.org/linux/man-pages/man2/msgsnd.2.html
IPC	Create	socket_pair	socketpair			Create a pair of connected sockets to IPC.	https://man7.org/linux/man-pages/man2/socketpair.2.html
Memory	Modify	m_lock	mlock			"Locks the calling process's virtual address space into RAM, preventing that memory from being paged to the swap area."	https://man7.org/linux/man-pages/man2/mlock.2.html
Memory	Modify	m_lock	mlock2			"Locks the calling process's virtual address space into RAM, preventing that memory from being paged to the swap area."	https://man7.org/linux/man-pages/man2/mlock2.2.html
